
"productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b850","PAN IV",6,3175.2,"kamlesh pareek","kailash@gmail.com","Sadabahar Colony","9876567632","2024-08-17T13:42:39.939Z"
"productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf914a6b9920cd1d763d15","Manforce dotted",4,2998.8,"Harsh","hello@gmail.com","Sadabahar Colony","9876567631","Saturday, 7:16 PM, August 17, 2024"
"productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b854","Codex-DX",4,1058.4,"kamlesh pareek","admin@gmail.com","Sadabahar Colony","9876575498","Saturday, August 17, 2024 at 7:17 PM"
"productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b84d","Little Angel Pants",3,294,"Sunny bhai","devi@gmail.com","Sadabahar Colony","9126567632","Saturday, August 17, 2024 at 7:21 PM"
"66bf914a6b9920cd1d763d15","Manforce dotted",5,3748.5,"Sunny bhai","devi@gmail.com","Sadabahar Colony","9126567632","Saturday, August 17, 2024 at 7:21 PM"
"productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf914a6b9920cd1d763d15","Manforce dotted",5,3748.5,"kamlesh pareek","hello@gmail.com","Sadabahar Colony","9876567631","Saturday, August 17, 2024 at 10:44 PM""productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b854","Codex-DX",6,1587.6,"kamlesh pareek","kailash@gmail.com","Sadabahar Colony","9876567632","Monday, August 19, 2024 at 5:12 PM"
"66bf88e8e6c794933239b84d","Little Angel Pants",5,490,"kamlesh pareek","kailash@gmail.com","Sadabahar Colony","9876567632","Monday, August 19, 2024 at 5:12 PM"
"66bf88e8e6c794933239b84e","Body Mass",3,1470,"kamlesh pareek","kailash@gmail.com","Sadabahar Colony","9876567632","Monday, August 19, 2024 at 5:12 PM""productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b84e","Body Mass",8,3920,"kamlesh pareek","hello@gmail.com","Sadabahar Colony","9876575498","Monday, August 19, 2024 at 9:17 PM""productId","productName","quantity","total","name","email","address","phone","dateOfOrder"
"66bf88e8e6c794933239b84d","Little Angel Pants",3,294,"kamlesh pareek","devi@gmail.com","Sadabahar Colony","9876575498","Monday, August 19, 2024 at 10:25 PM"
